,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
773,"78.1653544503891,113.57578428988327","78.83149167071984,108.87814627918289","79.23818245379377,109.2066360651751","86.23470938715954,107.77088399805447","85.46419017509727,101.8972215466926","95.02010122811284,114.37786508998055","103.7902252553502,110.0265533803502","102.00810128891051,144.3766111381323","117.4957517631323,161.70137706712063","96.45815600680935,163.16594722762648","103.33440235894942,180.18708961575877","114.29882052529183,135.60483037451363","140.10545355058366,121.8606441512646","126.77137037937743,166.2101167315175","114.54448109192607,166.83777662937743","123.25158833900778,225.40153818093387","111.26725133754864,216.65637159533074",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_flipped\0_147.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_flipped,0
771,"77.59052012402724,112.2936299246109","78.9400611016537,107.2867673881323","78.7319734922179,108.09171327821012","85.88828428988327,106.795765442607","84.81553988326849,104.27561861624514","95.60278605301556,113.59569552529183","104.24925522859922,108.91161539396887","102.07805660262646,143.50481821498056","116.43543287937743,163.54298394941634","97.50794929474708,161.38129255836577","102.83817181420234,176.39416646400778","113.54139561040856,136.1698382782101","140.77792132782102,120.83238843628405","112.46053471546693,165.2744710603113","115.26798090953308,166.88781310797665","122.07310159289884,224.74572896400778","123.72583292801556,225.62419443093387",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_flipped\1_153.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_flipped,1
775,"75.29068883754864,107.59232125486382","78.22781645184826,101.12010578793775","77.90451726653697,102.61438320768482","86.77190235894942,102.12696072470817","84.54438989542801,96.89792071984436","96.07681785019456,109.70728964007782","102.36451240272373,105.65116579523347","98.55370713764592,136.82108767023345","171.64412086575877,116.17617643482491","187.82003891050584,95.8211332684825","108.14769272859922,147.90311892023345","123.97481456712062,126.34858341439688","141.9161752188716,119.8659183487354","125.90893269698444,165.6193002188716","116.75766050583658,168.822531614786","123.61936861624514,225.44722762645915","122.37722671449417,226.0137554717899",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_flipped\2_159.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_flipped,2
777,"76.32407435554475,101.02249513618678","77.13620956955253,96.85499756809338","77.214266172179,96.40745075389106","87.30330435311284,91.61355483949417","85.3295765442607,88.86717230058366","95.23764287451363,102.89469844357977","102.79969449173151,100.53701817850195","101.95795841439688,130.26012281128405","170.71502614299612,119.4642357733463","101.97226866488327,149.2919655885214","104.82760821984436,145.19827638618676","143.1425249270428,119.74433061770428","146.1170811040856,116.95343658803502","125.98624452821012,163.861594114786","124.46922878161479,164.44484131809338","124.72011794747083,228.4357368677043","123.67483888618678,229.0601288910506",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_flipped\3_165.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_flipped,3
776,"79.12927863570039,84.85527875729572","78.94522890321012,84.2058456955253","81.00545659046692,82.86546236624514","89.4206058487354,77.91072622811284","85.66213977383269,77.04777936527238","104.25991761916343,90.75563898346303","103.55607064688716,88.07515351410505","106.76015321011673,119.80689901507782","107.11167771157588,121.80984010214009","105.26513861867704,141.1015625","106.3156918774319,140.64627918287937","144.9320130107004,122.7728295233463","144.9641293774319,123.00313107976653","126.2925735651751,166.6117765077821","127.97413059338521,167.2336150291829","123.10993737840467,231.0830648103113","123.02682696984436,231.34911539396887",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_flipped\4_171.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_flipped,4
767,"171.98256626945525,114.62351805690662","172.23352383268482,111.47252705496109","173.98422300583658,110.2254301434825","173.86472519455253,104.51839129377431","174.66895671206225,105.9318002188716","150.9874908803502,106.76603538424125","157.04395671206225,116.41653240515565","148.396218385214,156.77269272859922","153.56523589494162,152.87913424124514","63.83663667315175,95.66471607490273","63.6969236381323,96.08000972762646","113.64966105301556,122.35369041828794","125.66973948200389,121.24157192363813","144.20741123540856,168.52241913910507","128.883922057393,166.4025565418288","148.57523711089493,214.29065843871595","127.97671449416343,223.5364785992218",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_original\0_147.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_original,0
768,"172.58341439688715,114.32661265807393","172.1748844844358,111.46406098005836","174.77529182879377,109.8997066512646","170.44140625,101.78059642509727","174.50545659046693,105.46187226410505","151.27757174124514,106.23559855301556","158.18705921692606,116.47963278210116","147.0607064688716,156.3642084143969","152.46902358949416,153.5211423881323","63.955154122081716,96.50835967898833","63.70081468871595,96.88192333414398","113.57890776994164,121.82339038180935","127.62870865758755,121.61769668044747","143.80417071984436,167.61773467898834","128.9295811040856,166.1137828307393","149.14358888618676,214.5200328307393","127.56654304474708,223.6241792315175",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_original\1_153.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_original,1
769,"175.61179170719845,111.93493129863813","175.12495440175098,102.80654942850195","175.66027784533074,104.52692576605058","169.88845148346303,94.51652936527238","172.87685432879377,99.55283317120623","155.73864603599222,104.10370561770428","161.62050097276264,110.02182636186771","83.64026021400778,118.60508116488327","81.75041798394942,118.74976440904669","62.85300644455253,99.30855575145914","64.11207289640078,95.54120561770428","113.34706347276264,121.33088369406615","125.76853568822958,117.651234192607","142.29892692120623,168.81148163910507","128.87142813715954,167.33377918287937","146.82871777723736,213.34019333657588","128.31032648346303,223.41541524805447",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_original\2_159.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_original,2
770,"175.06906614785993,101.53023923881324","173.8521704766537,95.81956012889106","175.7782405155642,94.57444674124514","168.33256322957197,88.24243069066148","176.88177893968873,92.07915856031128","152.76559460116732,97.61351684095331","162.29711819066148,100.95550370865759","152.861016536965,131.68550887645915","84.67397251945525,121.35276325389106","61.5358706225681,113.46181906614787","60.235670750243195,114.11832745622569","113.92547726167315,121.07747142509727","114.52582380836576,123.04765017023347","130.24325145914398,169.23434460116732","128.0498540856031,167.00683973735408","128.60007295719845,226.3573686770428","127.43598765807393,230.71300462062257",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_original\3_165.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_original,3
774,"177.74566816634243,83.46095269941634","176.2447258025292,81.42417771157588","176.04692059824902,78.37145093628405","168.97653210116732,74.61711910262646","178.0053805933852,75.36884423638132","155.50948443579767,88.49390503404669","161.8978295233463,89.46178866731518","153.25405824416342,119.47248145671206","154.52626459143968,125.52453185797665","77.1862308487354,125.80085724708171","62.64990804353113,129.16070342898834","110.5238858827821,120.19349616974708","125.21406857976653,122.74852565661479","128.9820494892996,168.27833171206225","128.3588734192607,167.9378951848249","128.4510882782101,229.18579766536965","128.18218020428014,229.20432575389106",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_2_original\4_171.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_2_original,4
785,"85.06758420476653,64.73201909046692","80.21952517023347,59.917041585603116","86.33105848735408,61.24737810068093","85.8059794503891,56.758724464980546","93.00072197227627,56.5243874635214","106.63436284046693,68.23765807392996","106.55932332198444,69.20016111381324","111.24508298881324,99.198641172179","120.78327152237354,98.68738600437743","110.39665916828794,118.64356608706225","107.11391962548639,113.3034715466926","131.44038788910507,107.4981532709144","134.14439445525292,106.38063138375486","124.4343613205253,166.3772951118677","121.71557332198444,167.55157161964982","125.13418044747083,230.46060311284046","125.29914731274319,230.9156432392996",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_flipped\0_57.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_flipped,0
778,"82.97346941877431,70.19443093385215","79.32417315175097,67.36867704280155","84.098765807393,64.73679170719845","87.68214980544747,60.88070358098249","91.33602869649806,60.499787208171206","104.50432423394942,74.28864451605058","105.92014226653697,72.28299793287938","108.55736259727627,103.38794990272373","115.46020792801556,105.19643725680935","108.73420020671206,124.92542406371595","164.89673516536965,145.48325024319067","132.33618069066148,111.54457228842412","134.90884910019454,109.8516688959144","120.50986442120623,165.9306906614786","123.44899075875486,165.42483888618676","124.75051678015565,229.66783195525292","123.93540248054475,230.21172786964982",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_flipped\1_63.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_flipped,1
780,"81.04870652966926,77.04863053258755","77.95576969844358,73.12990181177042","82.46587731031128,71.64437925583658","86.28403149319067,70.09634910019456","89.69218142023347,69.51858128647861","100.38551039640078,80.97507295719845","106.06156523589495,79.80046206225681","111.2291236016537,107.68915673638132","118.06946133268482,107.45222063472762","109.16233736624514,125.27116518725681","109.53387189931907,126.48194309338521","133.4276507782101,116.57103447227627","137.84359800583658,113.87393604085604","118.34328641780156,167.5534715466926","121.40120379377431,167.05844175583658","124.7486548516537,229.22417619163426","226.3575814688716,224.27048881322958",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_flipped\2_69.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_flipped,2
779,"81.38642236138132,84.09006414153697","77.02177316391051,79.1772327942607","82.43672482976653,78.47443458171206","87.37054657101167,72.36379803015565","88.1303577942607,73.14261612354086","105.51669655885215,83.3054550705253","104.9545233463035,83.83152206955253","111.42943670963035,113.87664153696498","117.1908514713035,113.78849252188716","107.87471121108949,124.94600407344358","174.27269272859922,138.26944005350194","145.96868920233464,124.44157344357977","143.4045324659533,124.71876519941634","123.68175462062257,165.0757994892996","123.55326635457199,164.7225498540856","125.17683000972762,228.87767509727627","222.55742339494165,223.483265442607",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_flipped\3_75.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_flipped,3
782,"80.69329097762646,87.52814931906615","79.07079888132296,87.1580435311284","82.23924641293775,83.68268178501945","92.47678289153697,77.13428684338521","86.90942667801556,78.05895853599222","99.0271841561284,90.69692363813229","106.62702152237354,88.75281189202335","108.8814141536965,118.82825419503891","167.34856821498056,133.39003222276264","105.60353082441634,129.8574750729572","106.17495288180935,129.36046935797665","132.35151690175098,120.44288059338521","144.96285262645915,121.68740880350195","124.46570251702335,161.6267175340467","123.30181481031128,160.28179717898834","112.84548273346303,176.549094114786","115.23752127918289,176.16526325389106",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_flipped\4_81.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_flipped,4
781,"167.9658773103113,65.59201726653697","165.5153362110895,59.4437013618677","171.48705009727627,61.03548683730545","161.32566269455253,61.25662694552529","171.16106821498056,61.09540673638132","146.47267144941634,69.63507721303502","152.27802772373542,75.84866701118678","145.13939384727627,101.45154426070039","132.32914336089493,96.9387159533074","95.75349586575875,149.04073443579767","95.08181085846303,151.20672726167317","124.72473857003891,108.63025899805447","117.4426754012646,108.65380289396887","119.83027571741245,168.7794564688716","117.17350893725681,165.68558487354085","123.24918683122569,228.76109557392996","126.10809824902724,228.98864603599222",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_original\0_57.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_original,0
783,"167.68873115272373,71.6380107003891","168.01972884241246,65.73019516050584","172.14298090953307,64.32104207198444","163.47987597276264,60.89982444674125","171.68371534533074,61.42413591318093","148.60025535019454,72.13068458171206","154.25864846789884,77.76801890807393","145.7498176070039,107.38393725680935","150.58491913910507,108.7836515077821","153.58286721789884,116.98826605058366","150.26687135214007,119.23429140321012","115.66309733706225,110.87183852140078","114.73240667558366,112.03751215953308","125.05621504134241,169.17722519455253","121.62265928988327,166.4200510700389","124.64555721060312,229.04205678501947","126.08452395428016,229.1427681177043",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_original\1_63.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_original,1
786,"170.79711819066148,78.63092017266537","170.13393725680933,71.15913788910505","174.56671023832686,73.63016780155642","165.80908013132296,66.83499513618678","172.40061101653697,68.08121808122569","147.25925644455253,79.61336484678988","152.33402237354085,83.91565083900778","145.1541676799611,112.95635487597276","149.99952881809338,115.6421829401751","150.11051495622567,125.79655581225681","147.90357490272373,125.43126823929961","113.5662998540856,114.26149075875486","116.06493950632296,115.1662284168288","125.87860226167315,170.00571498054475","121.91703398589495,166.09820342898834","126.51804170719845,229.1663880107004","128.02947166828793,229.467594844358",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_original\2_69.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_original,2
784,"172.07423394941634,87.50671814202335","170.23478538424123,80.53454067363813","174.21461575875486,78.8932392996109","168.25513740272373,73.72927559581713","170.54258876459144,73.04198078793775","145.4216622081712,85.06281918774319","152.8112384484436,89.67469449173151","147.7702912208171,115.58745744163424","150.3351471303502,119.5998221668288","144.97182028210116,127.89516962548639","146.1962396643969,127.78270914396887","120.18474890564202,112.99011277966926","123.328125,115.82836059095331","125.42679961089495,170.89451605058366","125.39465284533074,170.2348765807393","128.7326118677043,227.3674002918288","129.13942424610894,227.36990819552528",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_original\3_75.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_original,3
788,"172.6509150048638,87.80451270671206","173.79933730544747,83.75555538667315","176.46660688229574,82.8410597033074","165.5718932392996,75.00215071741245","175.24211150291828,78.40061861624514","150.65611320525292,86.3530672422179","157.94198382782102,91.85608432636187","150.208140807393,120.82535110651752","153.70908317120623,123.38285049854086","143.47182028210116,162.4984952577821","148.7623723249027,151.94049428501947","111.84694947714009,112.92051465223736","125.06421753404669,123.32229602383269","126.72549854085604,167.99869285019454","129.9290795233463,165.6929869892996","127.98764287451363,226.74246108949416","127.01898407101167,226.97990637159535",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_3_original\4_81.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_3_original,4
793,"76.8405277237354,111.56324477140078","78.33605909533074,106.65183456955253","78.08316360651752,106.36363843628405","84.5360530155642,105.25223431420234","85.87206651264592,99.50835207928016","94.37100255350195,112.38854267996109","102.91844753161479,107.26203033803502","101.03514865029183,147.32516111381324","171.2858706225681,112.63609557392996","96.14072379620623,159.8581134484436","103.91397130350195,183.6009545233463","113.6685995257782,131.6421297422179","140.75991001945525,121.01795051070039","115.82795780642023,161.78606821498056","126.37939263132296,161.89988144455253","122.49236229328794,222.32038849708172","113.32652146157588,207.7345877918288",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_flipped\0_135.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_flipped,0
787,"77.50761490758755,112.52183396157588","79.1006657344358,107.92965710116732","78.7005638983463,107.98860803745136","86.31924094114787,106.35237566877431","85.25338946984436,103.79448109192607","95.02899288667315,114.0377173516537","103.37937743190662,109.46529973249028","102.7115986746109,141.8719145184825","117.68998510457199,160.63339007782102","98.57462913424125,162.2224738570039","104.30236958900778,182.35759666828795","114.49151112597276,134.47615211575877","139.97037633754863,121.81409593871595","124.82884697227627,164.38161174610894","117.55283317120623,165.58990454766538","121.97037633754864,224.73673090953307","112.6243160262646,211.27396947957197",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_flipped\1_141.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_flipped,1
789,"78.1653544503891,113.57578428988327","78.83149167071984,108.87814627918289","79.23818245379377,109.2066360651751","86.23470938715954,107.77088399805447","85.46419017509727,101.8972215466926","95.02010122811284,114.37786508998055","103.7902252553502,110.0265533803502","102.00810128891051,144.3766111381323","117.4957517631323,161.70137706712063","96.45815600680935,163.16594722762648","103.33440235894942,180.18708961575877","114.29882052529183,135.60483037451363","140.10545355058366,121.8606441512646","126.77137037937743,166.2101167315175","114.54448109192607,166.83777662937743","123.25158833900778,225.40153818093387","111.26725133754864,216.65637159533074",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_flipped\2_147.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_flipped,2
790,"77.59052012402724,112.2936299246109","78.9400611016537,107.2867673881323","78.7319734922179,108.09171327821012","85.88828428988327,106.795765442607","84.81553988326849,104.27561861624514","95.60278605301556,113.59569552529183","104.24925522859922,108.91161539396887","102.07805660262646,143.50481821498056","116.43543287937743,163.54298394941634","97.50794929474708,161.38129255836577","102.83817181420234,176.39416646400778","113.54139561040856,136.1698382782101","140.77792132782102,120.83238843628405","112.46053471546693,165.2744710603113","115.26798090953308,166.88781310797665","122.07310159289884,224.74572896400778","123.72583292801556,225.62419443093387",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_flipped\3_153.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_flipped,3
795,"75.29068883754864,107.59232125486382","78.22781645184826,101.12010578793775","77.90451726653697,102.61438320768482","86.77190235894942,102.12696072470817","84.54438989542801,96.89792071984436","96.07681785019456,109.70728964007782","102.36451240272373,105.65116579523347","98.55370713764592,136.82108767023345","171.64412086575877,116.17617643482491","187.82003891050584,95.8211332684825","108.14769272859922,147.90311892023345","123.97481456712062,126.34858341439688","141.9161752188716,119.8659183487354","125.90893269698444,165.6193002188716","116.75766050583658,168.822531614786","123.61936861624514,225.44722762645915","122.37722671449417,226.0137554717899",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_flipped\4_159.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_flipped,4
791,"171.73452699416342,113.522859922179","172.4787056177043,110.55409472276264","172.9429109922179,108.7462533438716","171.1270367217899,98.9121625729572","172.76495622568095,103.15773194309338","153.0248054474708,104.67480848735408","161.26647616731518,108.6530277237354","148.60448078793775,155.94143664883268","85.23515776994164,114.90062621595331","63.000319187743195,95.57887737110894","62.56774379863813,95.81453672178988","114.49389743433852,120.85574233949417","125.37205131322958,113.60325723492218","144.96622689688715,164.80255958171207","128.09154608463035,164.42154061284046","156.3666403210117,195.49927042801556","126.13887706712062,220.94192303015564",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_original\0_135.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_original,0
792,"171.95225863326849,113.97046753404669","172.38142935311285,111.19665004863813","173.829812135214,109.40631079766537","170.73828125,100.4898391901751","174.06832137645915,104.61363083657588","152.23525656614785,106.40269333657588","160.29243677042803,114.93579766536965","148.34010214007782,157.14895428015564","153.67543166342412,151.93386733949416","63.81640625,95.39007782101167","63.43642844114786,95.97236746108949","116.34713946984436,122.55391992947472","127.63308608949417,118.55069005350195","145.60867582684824,166.17866913910507","128.23274866245137,165.97289944066148","157.2331590466926,197.2847610651751","127.01174914883269,222.73525656614785",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_original\1_141.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_original,1
794,"171.98256626945525,114.62351805690662","172.23352383268482,111.47252705496109","173.98422300583658,110.2254301434825","173.86472519455253,104.51839129377431","174.66895671206225,105.9318002188716","150.9874908803502,106.76603538424125","157.04395671206225,116.41653240515565","148.396218385214,156.77269272859922","153.56523589494162,152.87913424124514","63.83663667315175,95.66471607490273","63.6969236381323,96.08000972762646","113.64966105301556,122.35369041828794","125.66973948200389,121.24157192363813","144.20741123540856,168.52241913910507","128.883922057393,166.4025565418288","148.57523711089493,214.29065843871595","127.97671449416343,223.5364785992218",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_original\2_147.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_original,2
796,"172.58341439688715,114.32661265807393","172.1748844844358,111.46406098005836","174.77529182879377,109.8997066512646","170.44140625,101.78059642509727","174.50545659046693,105.46187226410505","151.27757174124514,106.23559855301556","158.18705921692606,116.47963278210116","147.0607064688716,156.3642084143969","152.46902358949416,153.5211423881323","63.955154122081716,96.50835967898833","63.70081468871595,96.88192333414398","113.57890776994164,121.82339038180935","127.62870865758755,121.61769668044747","143.80417071984436,167.61773467898834","128.9295811040856,166.1137828307393","149.14358888618676,214.5200328307393","127.56654304474708,223.6241792315175",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_original\3_153.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_original,3
797,"175.61179170719845,111.93493129863813","175.12495440175098,102.80654942850195","175.66027784533074,104.52692576605058","169.88845148346303,94.51652936527238","172.87685432879377,99.55283317120623","155.73864603599222,104.10370561770428","161.62050097276264,110.02182636186771","83.64026021400778,118.60508116488327","81.75041798394942,118.74976440904669","62.85300644455253,99.30855575145914","64.11207289640078,95.54120561770428","113.34706347276264,121.33088369406615","125.76853568822958,117.651234192607","142.29892692120623,168.81148163910507","128.87142813715954,167.33377918287937","146.82871777723736,213.34019333657588","128.31032648346303,223.41541524805447",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to Perform the Single Legged Deadlift Week 38.mp4_4_original\4_159.jpg,datasetSingleLegDeadliftHow to Perform the Single Legged Deadlift Week 38.mp4_4_original,4
588,"116.8608265442607,31.956845057149806","116.84441877431907,28.352852550462064","120.33011612354086,28.43787998540856","123.51131596546693,30.39532541950389","127.54730058365759,30.410946619649806","123.30776538180935,52.84613630836576","127.3015184216926,53.40366609922179","123.51521461575875,83.71102109678988","123.44649045476653,86.50592017266537","113.52294351896887,112.22158469114787","114.22349221789884,111.77183396157588","125.24678532344358,114.56807058608949","127.6613722033074,118.03305873054475","127.44568488570039,172.5522099951362","125.95459174367704,173.44701483463035","134.24054596303503,221.13269090466926","137.48148711089493,222.02697896400778",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\0_123.jpg,datasetSingleLegDeadliftHow to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,0
591,"111.20196984435798,34.28979587183852","110.15605240758755,29.759516734557394","114.8608265442607,30.481694202942606","113.20110347762646,32.14324689931907","123.8777434946498,32.70327319430934","118.37690752675097,54.04472808244164","123.71368859435798,55.68209660749027","113.43987110894942,90.8177285992218","118.2377796692607,89.35020215223736","108.33993494649806,124.24515138618678","111.47038393725681,120.72926039640078","127.63039579280156,119.37397403939688","126.70917436770428,117.26209113570039","131.79293835116732,174.57731943093384","129.42138861867704,174.8898042315175","128.63805629863813,220.9188959143969","153.9619710603113,220.2318974951362",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\1_129.jpg,datasetSingleLegDeadliftHow to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,1
590,"105.36695950875486,40.98306025048638","106.08649987840467,36.981361715710115","109.21276142996109,37.97054733098249","107.30892813715954,38.938601957684824","117.31337396643968,37.37751550340467","112.22875121595331,59.36413621716926","115.91503526264592,59.59527374148833","112.01104997568093,94.27934247324903","115.04287755350195,93.82738022859922","107.98309064931907,128.9874604815175","110.70915916828794,123.61145732003891","129.803577942607,121.97106031128405","129.3481578307393,118.97951878647861","137.99419382295721,172.66135700389106","127.86837305447472,174.98776446984436","176.03413788910507,196.4596151507782","130.8689050340467,224.08988934824902",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\2_135.jpg,datasetSingleLegDeadliftHow to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,2
589,"101.25990241974708,53.26518041707199","100.4381079766537,48.33202365029183","105.21098309824903,49.78265974586576","103.24599495379377,50.874046236624515","114.18552407587549,49.80996929717899","109.56042527966926,71.35738387645914","115.40226775291829,71.11955860894942","112.00523619892996,108.77884089250973","116.93304657101167,106.9371580131323","106.22600012159533,137.24056116245137","111.45494133025292,136.018421692607","132.25650535019454,128.51548820525292","132.6217017266537,127.54900291828794","142.67046145428014,170.43371534533074","123.95410536235408,175.92555325875486","130.43927833171207,219.92151021400778","128.98562135214007,222.36791707198444",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\3_141.jpg,datasetSingleLegDeadliftHow to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,3
595,"97.114656797179,66.453968567607","95.96621169747083,62.8194157344358","100.00059277723736,61.461150291828794","107.62599556177042,61.8161174610895","106.93011308365759,62.48606973492218","118.82966774075875,80.81291798394942","110.3706985651751,82.71960116731518","121.42403331712062,114.94845877918289","117.60521035992218,120.54288515321012","105.87081256079766,151.5493829036965","110.93251459143968,150.65188776750972","140.85870622568095,129.51158195525292","135.0901629377432,134.8156158803502","146.45815600680933,167.55597945038912","123.2948686770428,175.33707745622567","130.05062925583658,221.4213278210117","129.3375182392996,222.38770671206225",SingleLegDeadlift,..\Python\dataset\SingleLegDeadlift\How to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\4_147.jpg,datasetSingleLegDeadliftHow to do a Single Leg Deadlift - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,4
