Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path
"185.45841439688715,156.53134119649806","184.47074112354085,155.83703185797665","182.0994497811284,157.36165491245137","181.21335420719845,151.16392570525292","179.64146096789884,154.45771522373542","169.34239725194553,157.5036174610895","167.28237475680933,169.8278058122568","162.4813959143969,176.76054839494162","161.22309703307394,177.14124817607004","169.6866032344358,180.73340223735408","180.54106882295721,176.3197045233463","122.22329462548639,156.4628070282101","119.23839524562257,158.3693306177043","161.9825054717899,162.46089190175098","162.48241427529183,161.8289457684825","67.76029760457199,165.08630228599222","65.04809855301556,166.48750607976655",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_flipped\178.jpg
"82.77437986381324,155.99393543287937","84.8162998540856,157.03194917315176","83.1152875729572,156.44032709143968","88.2375440783074,157.3851076118677","88.02403027723736,156.9493251459144","102.49449021157588,163.4077547422179","92.90852231274319,155.8703793774319","96.37645914396887,174.3947440418288","88.15951787451363,172.3693002188716","78.35404000486382,157.09723066634243","77.26955404912451,156.67994589007782","129.88021339980546,174.29369832198444","135.14937986381324,171.2917527966926","91.77519303258755,157.3453611381323","91.79875212791829,157.92257417315176","82.70918196741245,198.84244285019454","81.3475498540856,199.90892509727627",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_original\154.jpg
"80.94493251459144,155.68149623054475","83.86638193093385,157.32446194066148","82.12872385700389,156.30034046692606","87.6212533438716,158.1147099951362","88.79549945282102,157.2518239299611","102.81952973005836,165.44015989785993","93.2162420963035,156.50375425583658","96.00436223249028,175.63335967898834","87.85129651021401,173.7852626459144","77.46742005107004,158.06666464007782","75.9091530885214,158.05483949416342","131.19374696011673,174.47145549610894","134.84327881809338,171.7055569066148","90.82424914883269,157.8751063959144","90.83428836332685,158.24749209630352","82.63896066391051,165.47020914396887","81.30569826118678,199.9694643725681",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_original\160.jpg
"73.82871017752919,150.4038788910506","68.57347397859922,153.62832867217898","81.91642600924125,156.5649319066148","89.62804748297665,157.29973249027236","86.77697896400778,153.35986138132296","106.78285353842412,162.1750212791829","92.67654122081713,155.38734192607004","95.52105119163424,175.26854328793775","87.66948869163424,174.29052164396887","76.7852626459144,157.2672361381323","74.60977778453308,157.21298942120623","132.1461119892996,174.66090102140078","134.8674002918288,171.8377614299611","89.39063259970817,159.52548942120623","89.60739147616732,159.71511733949416","73.24228629620623,163.04590223735408","80.67483128647861,200.79462548638134",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_original\166.jpg
"75.3202061040856,151.1761004377432","85.53052042801556,157.9688563959144","82.92862354085604,157.26126276750972","108.36436040856032,160.73787086575877","96.16825753891051,162.79033925097278","109.0703125,162.1848097033074","90.56096485894942,158.24595695525292","95.76790491245136,174.0917740758755","87.99018877675097,173.30366913910507","77.24458140807393,157.1580435311284","74.89747993677042,156.23557575389106","132.24381383754863,175.37720391536965","135.58525352626458,172.67204219357976","89.30039366488327,159.15252614299612","89.70504772616732,159.5260214007782","73.54590983706225,162.90821072470817","80.37487080496109,200.89364968385215",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_original\172.jpg
"80.46883359678988,157.21055751459144","82.9109770184825,157.154562864786","82.27592260457199,156.62401203793775","71.00882326118678,156.88015260214007","85.1011673151751,152.34302042801556","106.35959539153697,163.36992339494162","99.22288424124514,157.48249027237355","96.26627857490273,174.18987110894943","88.06118525048639,172.70643847276264","76.95353538424125,158.37396643968873","77.21732125486382,158.80874574416342","131.1688655155642,173.64021461575877","133.1030368433852,171.4367400291829","90.3684794503891,158.33271522373542","90.34049732490273,158.9002614299611","83.69920355058366,166.08909897859922","81.53131079766537,198.8084113570039",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_2_original\178.jpg
"189.9549945282101,163.94423334143968","186.40938107976655,156.82952334630352","191.02036721789884,155.65479085603113","168.40117339494162,140.22349221789884","187.70918956712063,170.143376094358","145.87326726653697,125.10252006322958","164.3686162451362,162.8367582684825","91.96336180690662,95.6267935311284","93.93827517023347,96.42201939445525","161.1459599951362,152.98866123540856","170.57459873540856,194.05971850680933","133.87579036964982,129.7599252188716","155.04591743677042,155.1834113570039","96.06385274805447,94.11557636186771","94.88665795233463,94.69669564688716","69.54495987354086,163.40529243677042","68.84432757782102,164.6375395184825",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_flipped\35.jpg
"191.15716196498056,163.7679505107004","185.92935311284046,157.48369102626458","191.28976167315176,156.66222337062257","182.00797969357976,147.72724647373542","169.71101349708172,147.67353173638134","146.0718172422179,125.77344509970817","164.90281493190662,161.40650839007782","91.80205800097276,95.0096592290856","94.30946011673151,96.0990849951362","169.83800462062257,178.60662390564204","171.14834630350194,194.00565418287937","134.74531857976655,130.66381930933852","154.88823869163426,154.26554900291828","95.64570160505836,94.31155003647861","95.09979176799611,94.91188898346303","69.849031797179,162.49249148832686","69.33343719601167,163.81853416828795",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_flipped\17.jpg
"193.36715710116732,153.4785992217899","186.8389165856031,156.8261490758755","186.44737962062257,158.86854024805447","181.66535445038912,147.18099464980546","169.72951118677042,147.66626641536965","157.75117035505838,139.73613813229574","164.5158377918288,161.6304413910506","91.83292041585604,95.54673060554475","94.39061740029183,96.61336484678988","172.42255897373542,195.19447653210116","171.57698504377433,194.20193944552528","140.52746534533074,149.958718385214","154.6617673881323,153.22832563229574","95.45772282344358,94.21002553501945","94.6915126459144,94.87047057392996","69.7560721668288,162.70266901750972","69.27054961089495,164.02965406128405",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_flipped\23.jpg
"189.88443883754863,164.28898650291828","186.02153757295721,158.09294443093384","185.91780155642024,160.42138861867704","168.16561284046693,140.80372993677042","169.6927741974708,148.1701118677043","146.07779061284046,125.23496017752919","164.017844114786,162.388937864786","91.75792649562257,95.83165126459144","94.04053684338521,96.4761141172179","172.9048820525292,195.8196589250973","170.48729328793775,194.57475072957197","134.3135335603113,130.56142084143968","155.19060068093384,154.83785262645915","95.2686344844358,93.90845391536965","94.50760730787938,94.62335086332685","69.82777541342412,162.8990454766537","69.27717655642023,164.17120622568095",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_flipped\29.jpg
"189.69582928015564,164.78751215953307","185.55445950875486,157.90650839007782","185.2082472033074,159.75921084630352","180.69818518968873,142.76389226653697","169.3863995622568,147.75439263132296","145.87579036964982,124.50479541585604","163.45263861867704,162.32161964980546","91.82921175826849,95.65866670719845","93.75576817850195,96.41340892509727","161.52472945038912,152.084782344358","170.44601167315176,194.1591530885214","132.84063411964982,130.02720695525292","154.56511429961088,155.236062135214","95.90987506079766,94.1055751459144","94.84381839737354,94.7563609557393","69.97990637159533,162.7479936770428","69.12264409046692,164.07333718385215",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_flipped\41.jpg
"74.98787846546692,155.9015837791829","68.00779730058366,156.70256262159532","70.05528027723736,156.06265199416342","71.83189445525292,157.08490393968873","69.91904790856032,149.32544990272373","93.88714433365759,161.3638892266537","88.65797513375486,154.8807757782101","168.36100133754863,100.96666008025292","159.54590223735408,96.4404030885214","183.48942120622567,159.78825693093384","181.36606274319067,157.57408195525292","100.0652738934825,150.21300462062257","124.85521795963035,134.7062408803502","165.70543531128405,93.86432241001945","164.21639409046693,94.37791068822958","79.49278027723736,158.81172482976655","78.05643543287938,159.01899927042803",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_original\17.jpg
"74.10725468142023,154.8353903210117","67.20412816147861,155.63525960603113","69.47499696011673,154.91491366731518","70.51715254134241,156.62925583657588","69.58545871838521,149.45880958171207","93.51030520428016,160.75839007782102","85.58680386673151,159.15048942120623","168.2646218385214,100.86774987840467","159.38031979571986,96.23986198929961","183.44446133268482,159.5949659533074","181.60499756809338,157.52334630350194","99.8307620987354,149.89582320038912","124.52635578793775,134.41641840953307","165.74215710116732,93.53369710603113","164.20549610894943,94.01538940904669","79.69545689445525,158.68104024805447","77.89894668044747,158.9751337548638",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_original\23.jpg
"76.59935858463035,155.46460055933852","68.03448747568093,156.25636855544747","71.78688138375486,155.26971364299612","71.28897890321012,156.65330131322958","69.22177468385215,149.30198200389106","172.4087275048638,97.85039214494164","89.94696923638132,153.9378951848249","167.87902784533074,100.90932028210116","159.78240515564204,96.77156037208171","183.6310189688716,159.64143056906616","181.74138193093384,157.54492947470817","123.40174337305447,139.5127523103113","124.97422178988327,134.255593385214","165.51068518968873,93.94840558122569","163.971546692607,94.59266324173151","80.43778118920234,158.55070525291828","78.93117704280155,158.67100863326849",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_original\29.jpg
"68.39390807392996,164.54350072957197","67.59107490272373,155.99066755836577","73.10954219357977,155.47087791828795","71.11100133754864,157.17743798638134","68.49375303988327,149.64182575389106","173.10685189688715,97.55490789153697","161.42550766050584,98.40608280642023","169.18629924610894,100.24694491731518","159.36215649319067,96.15442607003891","183.1441360651751,159.4507538910506","181.24677772373542,157.24165552042803","123.45094388375486,139.6128860651751","125.02961606274319,134.18652723735408","165.63369406614785,93.54492947470817","164.1338460603113,94.7442470209144","87.81576027480546,159.30667862354085","85.48710329523347,168.04377431906616",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_original\41.jpg
"75.94133785262646,154.65269333657588","67.30582745622569,155.31459751945525","67.40761794747081,154.82935615272373","70.91808274562257,156.78836332684824","68.6190874270428,149.7548030155642","172.63153574902725,97.81499270428016","85.11126732733463,164.57075328307394","168.5446862840467,100.54142600924125","159.35445038910507,96.64995744163424","183.15164457684824,159.65115819552528","181.255593385214,157.37454401750972","122.91001945525292,139.7314719114786","125.2286752188716,134.16236016536965","165.59818822957197,93.91308973735408","163.9869589007782,95.15195616488327","87.36275687013618,160.0343962791829","85.29559824902724,167.94437013618676",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_3_original\35.jpg
"56.950009119649806,193.32557149805447","47.87992461089494,200.36814506322958","56.25856487110895,191.2465953307393","52.440608280642024,200.96102869649806","52.099681572227624,185.13361806906616","74.32687864785993,213.1083718385214","87.05987050097276,197.56318397373542","111.9022373540856,219.6184490515564","111.5852763253891,216.42932271400778","64.53303593142023,197.23739968385215","130.0509940418288,219.25104875972764","119.79394911235408,191.69204462548637","120.38351167315176,188.34824902723736","191.66672239785993,98.37895184824903","193.5997385700389,98.05591865272373","196.3080465710117,205.66690479085602","193.08093689202335,203.92220938715954",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_original\296.jpg
"58.15015503404669,193.97124270428017","52.935820464494164,199.24404182879377","55.452353629620625,192.01571619649806","52.85357642266537,202.12506079766538","52.23746808122568,185.61081894455253","72.43327456225681,213.45400656614785","87.11302285992218,198.1185554474708","117.42444370136187,218.15393968871595","123.83955496108949,212.17075024319067","63.163944704523345,197.29983888618676","139.00737171692606,220.40281493190662","134.40140138618676,188.0842199659533","135.69091986867704,186.45665126459144","121.17061344844358,217.31944613326849","117.62750030398833,231.52614299610894","196.0885821984436,208.59759545233464","197.30904973249028,207.93207380836577",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_original\302.jpg
"58.89910247446498,193.21400778210116","48.806758420476655,201.18824477140078","57.74609375,190.5032982733463","51.68433472154669,200.72979997568095","52.20321999635214,183.4944370136187","64.83555751459144,202.19628526264592","82.97560493677042,197.39787512159532","109.10768026507782,219.0367673881323","110.8489482003891,214.3622324902724","62.580154122081716,196.3703793774319","127.05731699902724,218.39092898832686","111.18325936284047,200.39808791342412","113.73523376702335,195.7308943336576","191.43145063229574,99.31460511916343","188.45102748054475,94.13672634970817","194.9942242217899,204.0053805933852","189.16729997568095,204.36461879863813",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_original\290.jpg
"57.76853568822957,193.10549914883268","52.52208475194553,198.76410505836577","56.407344357976655,191.57622507295721","53.148391901750976,202.84191087062257","53.09213506201362,186.4255684581712","72.42955070525292,212.4071467655642","80.70976714494164,197.03077881809338","124.39343689202335,217.5246534533074","125.109375,214.20102748054475","62.010206408073934,197.68154182879377","150.5484101410506,220.17046145428017","138.3695130107004,192.8596637889105","140.97701848249028,190.22522495136187","120.90659198686771,216.69595087548637","116.93915673638132,227.48647251945525","194.47087791828795,209.45808000972764","193.98902602140078,208.6410505836576",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_original\308.jpg
"55.677582380836576,192.12457441634243","52.3076171875,199.02811892023345","53.25779350072957,189.97265625","52.131151963764594,202.7880593385214","57.71267023346304,186.37562317607004","73.47984557392996,212.85651750972764","85.9133253283074,189.41153939688715","131.6857064688716,215.53568822957197","128.28661539396887,211.1977444066148","61.251896127188715,197.0812104815175","147.63139895428014,221.27664457684824","143.19655885214007,194.25486381322958","139.13232611867704,192.8289457684825","121.47515655398833,212.77319430933852","129.71540612840468,204.0333931177043","194.25399744649806,208.90211575875486","146.26255471789884,214.28742096303503",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_original\314.jpg
"203.05183000972764,196.64649197470817","201.25341986867704,192.48062074416342","205.20873358463035,194.34210846303503","198.01460663910507,188.743297057393","198.96630289396887,197.426890807393","179.70218263618676,190.36831225680933","174.34899379863813,200.2420811040856","140.63396765564204,213.33535992217898","142.81645184824902,219.97932879377433","139.720969114786,217.11519637645915","110.17315935068093,216.12215770914398","127.30898893482491,179.28001884727627","126.21648528696498,191.12633754863813","66.77494984192607,100.38851988083658","65.0283469114786,101.40778514105058","62.60855423151751,204.36712670233464","125.49478660019456,208.10356882295721",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_flipped\290.jpg
"202.92182940175098,198.8001732733463","199.69979632782102,193.66503526264592","206.16170659046693,195.31815418287937","195.73709569552528,188.9038180933852","202.08979815175098,187.75387585116732","178.6412329766537,188.84447957198444","174.87249209630352,200.35720148346303","137.66658560311285,217.87731031128405","140.42763557879377,220.41039944066148","138.14086819066148,218.47142509727627","109.0828216196498,217.16014105058366","118.99394303258755,188.64369528210116","124.51370227383269,188.84247324902725","66.98750607976653,101.93712761429961","65.12865545963035,102.3508481274319","62.10681769820039,202.25034958657588","124.74314506322958,217.61892023346303",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_flipped\296.jpg
"200.96754924610894,204.34441877431908","200.2216074902724,192.83032891536965","204.71148467898834,193.4669260700389","195.23428380350194,190.4885700389105","201.08798942120623,192.83089129377433","175.9802863570039,188.61644272859922","175.79155520428017,205.61423881322958","109.63604997568093,202.1770428015564","138.61913302529183,223.14785992217898","104.14700115515565,219.79983888618676","107.76046479815176,223.18753039883268","122.2795096668288,184.54754377431908","126.26883967655642,197.72563533560313","111.67128222276264,200.10970938715954","155.02685736867704,170.13345087548637","103.31521309581713,218.71235104571986","104.20112627675097,224.20706164883268",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_flipped\314.jpg
"202.2006474951362,199.61241488326849","200.1662512159533,194.11849464980546","205.06287998540856,196.47668409533074","195.43973431420233,189.53612901264592","200.42322774805447,196.92231578307394","179.99162512159532,189.05350194552528","172.7023346303502,194.8990910749027","142.4868525048638,219.2932879377432","140.11895063229574,220.04733098249028","109.21927437986382,218.12205131322958","108.15141658560312,222.94864117217898","121.48390381809338,183.82046449416342","121.94643725680935,199.86028696498056","141.24768968871595,215.87015138618676","143.3266962548638,215.7894576848249","109.3385745987354,213.64057940175098","104.6391202577821,218.23890442607004",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_flipped\302.jpg
"203.49303866731518,200.5335755107004","200.70672726167317,194.62506079766538","206.03099160992218,197.349297786965","195.33508633268482,191.26649136673151","200.04643421692606,189.66637281128405","178.62525839007782,189.44432453793775","173.91123540856032,203.11662512159532","111.13298729328794,199.99592655642024","140.97633450875486,221.5690509484436","105.95846759484436,219.51454584143968","106.54364512402724,222.86160931420233","122.47848522616732,193.79116001945525","128.26822410019454,195.16924550097278","142.80304596303503,215.75805569066148","143.58943336575877,215.70417375972764","104.41055903453308,217.29875972762648","101.88144455252919,218.01281310797665",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_0_flipped\308.jpg
"188.0152298151751,162.7458809581712","185.41798394941634,157.583718385214","188.1663120136187,148.59128769455253","166.55623784046693,141.07864178015564","169.3603021643969,148.12949902723736","147.46955556906616,125.3950328307393","165.0845087548638,161.16100741731518","91.26979723978599,95.95215983706225","94.04419230301556,97.11166251215954","174.72999756809338,192.80654182879377","175.80835055933852,193.06903574902725","134.71887159533074,130.51880167801556","155.4144880836576,154.92816755836577","95.90716196498055,95.0513360286965","94.87277328550584,95.45807241001945","69.64238053258755,160.95700085116732","69.01224312986382,162.19139105058366",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_flipped\231.jpg
"188.8607429474708,161.79485347762648","185.70428015564204,156.73697410019454","190.56961332684824,155.14466804474708","180.8765351410506,147.31781979571986","169.86314445525292,147.78120440175098","169.76772251945525,155.13766111381324","164.5033590710117,161.92284776264592","92.93845756322958,96.15208535992218","94.3963247811284,96.50478021643968","172.26983523832686,195.0765442607004","175.66977748054475,192.94316938229574","135.73730848735408,129.6894303258755","156.02650778210116,155.8106304717899","94.97691208657588,93.94845117947472","94.15045902237354,94.87313807149806","68.84503435068093,161.31401994163426","68.70107307879377,162.5363722033074",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_flipped\219.jpg
"188.96016232976655,162.0277389348249","185.8853964007782,157.42347093871595","188.12413363326849,147.9510882782101","166.22030034046693,141.5174185311284","169.143376094358,147.77285992217898","147.22631930933852,126.19901355787938","163.96343020428017,161.76366427529183","91.45508572470817,95.52572501215954","93.85229207198444,96.86621473735408","174.93186101653697,193.31570707684824","170.01418105544747,194.93575206712063","140.39903027723736,150.603204036965","154.26624817607004,154.95879438229574","95.61662512159533,94.88652115758755","94.85378161478599,95.37680873054475","69.92407891536965,161.13208292801556","69.100718932393,162.50223431420233",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_flipped\243.jpg
"202.61563715953307,198.69930994649806","199.99740089980546,192.70608888618676","204.8587670233463,193.59004134241246","194.68999270428017,189.8556815418288","202.5093172422179,192.6190114299611","176.88744832198444,189.5741123540856","176.9682484192607,205.3748936040856","143.32067728599222,219.6501550340467","139.29199598735408,222.79024805447472","103.41144060068093,220.14548881322958","108.93025747811284,224.1113509241245","118.13894546449417,197.9443093385214","151.85071133268482,210.59584751945525","110.52936527237354,201.1499726410506","144.0677741974708,214.2282800340467","104.96457776021401,215.19471972276264","104.04670780642023,223.47422178988327",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_flipped\334.jpg
"189.17511247568095,162.4032709143969","185.42798516536965,157.5492005107004","188.69873236867704,148.5321771643969","180.85796145428017,147.8116792315175","170.30365393968873,148.14196254863813","146.7054505107004,125.79325753891051","164.90419807879377,161.0399896643969","91.75846607490273,95.35250486381324","94.17949750729572,96.6693138983463","172.70370257782102,195.49395063229574","176.60863022859922,193.3734952577821","134.51115637159532,130.38636916342412","155.4939810311284,154.9371808122568","95.28970847519456,94.10426799610894","94.28976927285993,94.68490849951363","69.3881170963035,160.9848005836576","68.88726592898833,162.37104815175098",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_flipped\225.jpg
"202.89278331712063,199.21995075389106","199.5417071984436,193.43221060311285","206.51869528210116,195.93125303988327","196.63010700389106,190.43845756322958","205.27872689688715,198.4528362110895","179.96881079766538,193.6778635700389","171.4059612110895,198.63480362354085","141.1857064688716,213.69088946984436","146.94462852626458,216.719859557393","138.0355514348249,216.90666038424123","115.32250881566148,215.93775839007782","128.65780034046693,178.5126459143969","130.97232186284046,178.18181541828795","66.83183365758755,99.24528058122569","65.79942090223736,100.65227535262646","62.2486548516537,207.76536660992218","128.2648650291829,218.18733280642024",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_flipped\352.jpg
"203.34938898346303,198.22900960603113","201.43863995622567,192.93404973249028","207.51690175097278,193.75729571984436","198.45868798638134,191.5889165856031","201.52503343871595,193.05187560797665","179.3223948200389,190.51256991731518","173.96680447470817,199.99001398346303","141.31035688229574,216.95216743677042","142.82868737840468,220.2927559581712","111.18981031128405,212.49325145914398","111.83760183608949,216.33567910992218","118.47631930933852,187.69820038910507","124.41493646643968,187.62547118190662","67.65407648346303,101.1132280520428","65.98920081468872,101.40135578793775","62.680679261916346,204.9077243433852","127.5559034533074,220.24051556420233",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_flipped\346.jpg
"202.93616245136187,199.8140807392996","199.12841986867704,193.7829675340467","206.9430173881323,196.21838521400778","196.86104693579767,190.98890442607004","205.41122020914398,198.58925097276264","180.02653818093384,192.69204462548637","172.2616123540856,199.52351349708172","140.7553349951362,212.9641597762646","146.47890321011673,217.1809490515564","140.42125182392996,217.25437743190662","112.00839767752919,215.02284472276264","128.66518725680933,179.01421145428017","131.09376519941634,178.42202699416342","66.64135457198444,99.8034715466926","137.6230696741245,226.00468142023345","62.475285749027236,207.11612354085602","127.27973005836576,218.2251337548638",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_flipped\358.jpg
"203.7331134484436,199.03471546692606","200.97929839494165,192.96817242217898","209.04631262159532,194.13562439202335","195.04844053988327,189.7629347033074","204.45858159046693,191.05740819552528","178.46998115272373,190.11104693579767","172.03001884727627,203.2046297422179","142.62629195038912,219.5091348492218","139.8651051799611,219.80939931906616","110.0450814688716,219.1462487840467","107.95377097519456,220.76782891536965","120.47818883754864,182.80765138618676","122.74505258998055,196.28477626459144","141.73916281614785,216.00647495136187","143.8278362110895,212.36346364299612","109.4732642266537,217.3252523103113","106.38807909776264,218.41143300097278",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_flipped\340.jpg
"55.148460299124515,192.57014530642024","52.479461788667315,199.30789457684824","53.49262448321984,190.28714737354085","52.51832669625487,203.34382599708172","57.54068123784047,186.9251732733463","73.74895124027238,211.28761855544747","81.67928471546692,195.31725741731518","132.2877401507782,214.74682332198444","126.91571923638132,211.4152784533074","61.88511521157588,197.17520367217898","147.6028848492218,220.06319917315176","143.48475498540856,199.2613995622568","139.3910505836576,197.8251155155642","118.43987110894942,214.14109618190662","126.49310706468872,204.38899866245137","197.3180173881323,209.18152662937743","146.0666950389105,214.591485286965",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_original\334.jpg
"56.12405763618677,193.68278818093384","52.572087031857976,199.59601471303503","55.07582228842413,191.55330435311285","52.65737475680934,202.33028331712063","53.21493114664397,185.32467473249028","73.11376003161479,212.3606365515564","88.2995424975681,198.99686892023345","120.25305508268482,217.48583414396887","127.03164518482491,213.28822653210116","138.91992947470817,219.06481031128405","137.5140898589494,221.47239785992218","135.07943214980546,189.8466530885214","136.99606335116732,188.4721090710117","103.86233128647861,208.15927468385215","131.06011369163426,208.73110712548637","193.52544382295721,208.68959751945525","195.75734131809338,207.96195586089493",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_original\340.jpg
"189.12101775291828,162.52579340953307","185.91444248540856,157.510031614786","188.19066147859922,148.55566026264592","180.7841530885214,147.63437803988327","169.7874513618677,148.0879134241245","165.85552954766538,148.2614299610895","165.752219114786,161.35904061284046","91.46446376459144,95.5967594844358","93.70899197470817,96.87749270428016","174.3371990515564,193.19028149319067","175.88734192607004,193.4907587548638","134.61896583171207,130.45124027237355","154.8957928015564,154.63702273832686","96.00223431420234,94.59947258025292","94.90342290856032,95.01728173638132","70.07603508025292,161.0881870136187","69.31095725924125,162.40631079766538",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_flipped\237.jpg
"55.87648574294747,187.24861685311285","48.916194218142024,198.0492765077821","57.671688807149806,187.02115758754863","53.197216226896884,202.5205344114786","52.4527830131323,183.55797057392996","65.96422057392996,216.5013679474708","83.96120348978599,196.53629620622567","106.4721014713035,217.91109861381324","110.92610043774319,212.93300097276264","122.37803228356032,218.34089250972764","123.12753830252919,217.58221364299612","99.0512828307393,218.00600376945525","100.51316269455253,213.83017692120623","189.52442546206225,99.11583475194553","191.48869163424123,98.59122689688716","194.4994528210117,204.50893725680933","190.50510700389106,204.93791038424123",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_original\352.jpg
"60.71127188715953,193.89456164883268","48.39106198321984,200.19589007782102","59.64958125607977,191.66260335603113","52.86783347519455,201.86461879863813","52.89371808122568,185.3834204766537","73.52466865272373,212.28273954280155","85.91212457441634,196.905094844358","108.75370105787938,219.88740272373542","110.18386733949417,216.57759302042803","133.28973127431908,219.0749787208171","133.2959478356031,219.07639226653697","114.29749057636187,198.6626337548638","125.96449416342412,196.5494892996109","191.69671084630352,98.61043895914398","193.46460055933852,98.34551313229572","194.72729207198444,205.43605605544747","187.6366123540856,207.4082259241245",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_original\346.jpg
"55.19442333414397,187.58459995136187","48.34010593993191,198.2265625","56.62292527966926,187.04784776264592","53.017737718871594,203.03871291342412","52.46444476532101,183.9353872811284","73.37335086332685,224.44009910019454","83.2540658438716,195.65240454766538","107.45984314202335,217.73165430447472","111.77982125486382,212.27296631809338","64.94845877918289,198.53514105058366","123.13678714737354,218.02600620136187","98.76675735651752,218.16302893968873","121.86415521643968,199.0874726410506","189.04187439202335,98.65617400291829","191.02173516536965,98.20932636186771","195.63984982976655,204.41903270914398","189.41605362354085,203.37100255350194",GluteBridge,..\Python\dataset\GluteBridge\Wellness Wednesday - The glutes exercise you need to know.mp4_1_original\358.jpg
"74.46248024075875,158.13497081712063","67.34632630107004,157.69661964980546","70.98975559338521,157.1391962548638","72.28112080496109,157.65200936284046","68.71557332198444,150.17596364299612","96.39315570282102,157.69467412451363","90.82006930933852,152.134454036965","166.29749817607004,100.2680265077821","159.6544868677043,97.40857551070039","183.90404608463035,159.72346181906616","187.03061162451363,157.7123662451362","124.31441512645914,137.8078793774319","126.63143695282102,132.21961636673151","164.8775839007782,93.72755046206225","163.53859131809338,94.79021765564202","83.54206438472762,204.0292740758755","79.11228568822958,160.01711454280155",GluteBridge,..\Python\dataset\GluteBridge\Glute Bridge.mp4_4_original\225.jpg
